CustomerID,Recency,Frequency,Revenue,Profile
17850.0,371,297,5391.21,High Profile
15808.0,305,195,3651.27,High Profile
12583.0,2,247,7281.38,Low Profile
14688.0,7,324,5579.1,Low Profile
16029.0,38,241,80850.84,Low Profile
12431.0,35,235,6419.95,Low Profile
13408.0,1,478,28117.04,Low Profile
13767.0,1,368,17220.36,Low Profile
13448.0,16,194,3534.69,Low Profile
15513.0,32,308,14758.22,Low Profile
17920.0,3,665,4119.5,Low Profile
13694.0,3,568,65039.62,Low Profile
14849.0,21,388,7930.54,Low Profile
17377.0,23,404,4058.32,Low Profile
12662.0,0,230,3849.78,Low Profile
12433.0,0,420,13375.87,Low Profile
17346.0,3,483,2622.88,Low Profile
12921.0,8,720,16587.09,Low Profile
13468.0,1,302,5704.97,Low Profile
16928.0,79,204,2814.7,Medium Profile
13777.0,0,197,25977.16,Low Profile
17690.0,29,252,4726.8,Low Profile
15752.0,39,405,2626.6,Low Profile
17017.0,2,252,8694.26,Low Profile
15601.0,10,410,6776.56,Low Profile
13418.0,11,304,6127.43,Low Profile
14388.0,9,186,3212.84,Low Profile
18041.0,11,458,4097.37,Low Profile
14390.0,9,284,4642.57,Low Profile
14060.0,4,202,6140.42,Low Profile
15544.0,8,259,3546.71,Low Profile
14180.0,10,240,4748.52,Low Profile
14449.0,18,250,885.8,Medium Profile
16186.0,22,218,4006.94,Low Profile
17581.0,0,439,11025.24,Low Profile
15061.0,3,403,54534.14,Low Profile
15640.0,3,476,12416.11,Low Profile
17228.0,15,208,1906.09,Low Profile
14031.0,6,250,17286.86,Low Profile
12971.0,3,305,11189.91,Low Profile
17757.0,0,740,5593.39,Low Profile
13798.0,0,349,37153.85,Low Profile
14395.0,1,348,3479.91,Low Profile
17961.0,20,249,1296.44,Medium Profile
12841.0,4,414,3991.58,Low Profile
16905.0,4,199,3037.6,Low Profile
16891.0,1,186,742.43,Medium Profile
14680.0,24,258,28754.11,Low Profile
13013.0,0,219,4810.9400000000005,Low Profile
12682.0,3,524,12279.82,Low Profile
14723.0,9,259,1122.36,Medium Profile
17954.0,4,477,2314.13,Low Profile
17238.0,2,555,3719.1,Low Profile
17243.0,0,387,8540.05,Low Profile
18055.0,6,358,6761.34,Low Profile
18109.0,1,441,8004.92,Low Profile
13069.0,0,424,4431.44,Low Profile
16241.0,9,655,2590.31,Low Profile
14800.0,47,383,4331.79,Low Profile
15708.0,40,273,3235.25,Low Profile
16839.0,8,266,16594.35,Low Profile
16814.0,13,319,6416.7,Low Profile
15351.0,11,219,1934.66,Low Profile
13269.0,0,315,5343.28,Low Profile
12567.0,22,446,9401.28,Low Profile
14810.0,40,254,2085.33,Low Profile
17059.0,29,514,3080.39,Low Profile
16327.0,13,317,3820.27,Low Profile
17211.0,26,211,2317.2200000000003,Low Profile
15570.0,6,319,4148.82,Low Profile
17858.0,5,197,5140.66,Low Profile
16393.0,1,327,3040.96,Low Profile
15023.0,2,553,6720.41,Low Profile
15426.0,18,275,1404.07,Medium Profile
15867.0,4,459,3810.14,Low Profile
12472.0,31,339,6572.11,Low Profile
14506.0,16,295,1960.65,Low Profile
12720.0,2,354,5781.73,Low Profile
16422.0,16,369,34684.4,Low Profile
15502.0,15,213,10384.93,Low Profile
17965.0,37,325,2599.19,Low Profile
13174.0,15,293,2742.82,Low Profile
17677.0,1,303,16345.38,Low Profile
17428.0,0,328,17256.85,Low Profile
16161.0,1,471,5533.67,Low Profile
14189.0,1,265,4654.08,Low Profile
16719.0,14,196,1770.22,Low Profile
15301.0,50,242,5049.95,Low Profile
17596.0,22,265,2806.69,Low Profile
15078.0,6,440,9743.11,Low Profile
14085.0,1,448,4421.29,Low Profile
17019.0,10,228,1258.08,Medium Profile
